# Region type : patch bottomWall
# Faces       : 200000
# Area        : 4.800000e+01
# Scale factor: 1.000000e+00
# Time        	areaAverage(yPlus)
251.0937      	2.184119e-01
251.1         	2.184144e-01
251.1062      	2.184169e-01
251.1125      	2.184195e-01
251.1187      	2.184228e-01
251.125       	2.184262e-01
251.1312      	2.184294e-01
251.1375      	2.184321e-01
251.1437      	2.184342e-01
251.15        	2.184368e-01
251.1562      	2.184398e-01
251.1625      	2.184426e-01
251.1687      	2.184455e-01
251.175       	2.184479e-01
251.1812      	2.184502e-01
251.1875      	2.184527e-01
251.1937      	2.184552e-01
251.2         	2.184574e-01
251.2062      	2.184593e-01
251.2125      	2.184613e-01
251.2187      	2.184633e-01
251.225       	2.184655e-01
251.2312      	2.184679e-01
251.2375      	2.184704e-01
251.2437      	2.184724e-01
251.25        	2.184740e-01
251.2562      	2.184749e-01
251.2625      	2.184763e-01
251.2687      	2.184787e-01
251.275       	2.184812e-01
251.2812      	2.184831e-01
251.2875      	2.184847e-01
251.2937      	2.184855e-01
251.3         	2.184859e-01
251.3062      	2.184867e-01
251.3125      	2.184880e-01
251.3187      	2.184892e-01
251.325       	2.184904e-01
251.3312      	2.184910e-01
251.3375      	2.184913e-01
251.3437      	2.184910e-01
251.35        	2.184907e-01
251.3562      	2.184909e-01
251.3625      	2.184908e-01
251.3687      	2.184909e-01
251.375       	2.184906e-01
251.3812      	2.184901e-01
251.3875      	2.184899e-01
251.3937      	2.184900e-01
251.4         	2.184901e-01
251.4062      	2.184898e-01
251.4125      	2.184894e-01
251.4187      	2.184892e-01
